71,2016,3,2016-10-09 00:00:00.000,38,1,25,3,1552,1577,L,W
72,2015,4,2015-10-10 00:00:00.000,38,1,25,0,1545,1551,W,L
73,2014,4,2014-11-22 00:00:00.000,38,0,25,0,1446,1403,D,D
74,2015,4,2016-04-30 00:00:00.000,69,0,25,0,1740,1688,D,D
75,2016,3,2017-04-14 00:00:00.000,70,0,25,0,1779,1817,D,D
76,2016,3,2016-08-06 00:00:00.000,47,3,25,1,,,W,L
77,2017,3,2018-02-24 00:00:00.000,39,1,25,1,,,D,D
78,2016,3,2016-10-22 00:00:00.000,39,0,25,1,1669,1630,L,W
79,2017,3,2018-02-13 00:00:00.000,40,4,25,2,1646,1580,W,L
80,2014,4,2015-04-14 00:00:00.000,40,1,25,1,1577,1548,D,D
81,2013,4,2014-04-21 00:00:00.000,40,1,25,2,1690,1779,L,W
82,2015,4,2016-04-09 00:00:00.000,40,1,25,2,1581,1737,L,W
83,2016,3,2017-04-01 00:00:00.000,68,2,25,0,1735,1767,W,L
84,2015,4,2016-04-02 00:00:00.000,71,1,25,2,1730,1698,L,W
85,2014,4,2014-10-18 00:00:00.000,71,2,25,0,1554,1529,W,L
86,2013,4,2014-01-04 00:00:00.000,71,0,25,3,1533,1527,L,W
87,2015,4,2015-09-12 00:00:00.000,72,1,25,1,1493,1499,D,D
88,2014,4,2014-12-26 00:00:00.000,41,0,25,2,1445,1417,L,W
89,2017,3,2017-12-26 00:00:00.000,41,2,25,1,1663,1591,W,L
90,2013,4,2014-02-15 00:00:00.000,41,1,25,0,1563,1600,W,L
91,2015,4,2015-11-15 00:00:00.000,41,0,25,0,1511,1515,D,D
92,2017,3,2018-02-03 00:00:00.000,43,2,25,0,1678,1778,W,L
93,2016,3,2017-02-28 00:00:00.000,44,1,25,2,1693,1715,L,W
94,2017,3,2017-08-05 00:00:00.000,44,1,25,1,,,D,D
95,2013,4,2014-01-18 00:00:00.000,44,0,25,0,1573,1564,D,D
96,2016,3,2017-02-04 00:00:00.000,21,4,25,0,1666,1568,W,L
97,2014,4,2015-02-14 00:00:00.000,45,2,25,0,1557,1552,W,L
98,2016,3,2017-02-18 00:00:00.000,45,2,25,1,1640,1599,W,L
99,2015,4,2015-09-12 00:00:00.000,41,3,50,1,1522,1520,W,L
100,2016,4,2016-09-24 00:00:00.000,41,5,50,1,1593,1552,W,L
101,2017,4,2018-02-13 00:00:00.000,72,2,50,0,1611,1659,W,L
102,2016,4,2016-12-10 00:00:00.000,72,0,50,1,1535,1534,L,W
103,2016,4,2016-10-22 00:00:00.000,71,0,50,2,1531,1447,L,W
104,2017,4,2017-09-30 00:00:00.000,71,3,50,1,1605,1488,W,L
105,2015,4,2015-12-12 00:00:00.000,72,2,50,2,1498,1462,D,D
106,2015,4,2016-04-16 00:00:00.000,71,1,50,1,1697,1623,D,D
107,2017,4,2017-11-18 00:00:00.000,68,1,50,0,1528,1468,W,L
108,2015,4,2016-03-05 00:00:00.000,25,0,49,0,1695,1645,D,D
109,2013,4,2013-10-12 00:00:00.000,25,1,49,1,1537,1524,D,D
110,2014,4,2015-01-24 00:00:00.000,25,2,49,1,1460,1568,W,L
111,2016,4,2016-08-13 00:00:00.000,50,2,49,0,1505,1537,W,L
112,2015,4,2015-10-10 00:00:00.000,50,1,49,2,1472,1564,L,W
113,2017,4,2018-02-17 00:00:00.000,50,1,49,1,1627,1788,D,D
114,2016,4,2017-04-14 00:00:00.000,27,0,49,0,1542,1664,D,D
115,2015,4,2015-09-12 00:00:00.000,29,0,49,1,1552,1522,L,W
116,2013,4,2014-01-28 00:00:00.000,29,0,49,1,1631,1635,L,W
117,2013,4,2014-03-01 00:00:00.000,7,2,49,1,1640,1626,W,L
118,2014,4,2015-03-14 00:00:00.000,7,3,49,0,1478,1496,W,L
119,2013,4,2013-08-17 00:00:00.000,30,3,49,0,1452,1478,W,L
120,2014,4,2014-08-30 00:00:00.000,30,2,49,1,1543,1488,W,L
121,2016,4,2016-10-01 00:00:00.000,51,2,49,1,1545,1449,W,L
122,2014,4,2015-04-11 00:00:00.000,51,2,49,2,1557,1570,D,D
123,2017,4,2017-11-11 00:00:00.000,51,0,49,0,1600,1658,D,D
124,2015,4,2015-11-21 00:00:00.000,51,2,49,3,1480,1466,L,W
125,2015,4,2016-02-06 00:00:00.000,52,2,49,0,1560,1592,W,L
126,2014,4,2014-11-15 00:00:00.000,52,1,49,0,1442,1520,W,L
127,2016,4,2016-09-03 00:00:00.000,52,1,49,1,1581,1470,D,D
128,2017,4,2017-12-26 00:00:00.000,52,3,49,1,1611,1561,W,L
129,2013,4,2013-09-07 00:00:00.000,54,1,49,0,1584,1404,W,L
130,2017,4,2017-09-16 00:00:00.000,54,1,49,2,1466,1572,L,W
131,2014,4,2014-08-16 00:00:00.000,53,2,49,1,1537,1473,W,L
132,2017,4,2018-01-13 00:00:00.000,53,0,49,2,1592,1745,L,W
133,2016,4,2017-01-14 00:00:00.000,53,3,49,0,1477,1545,W,L
134,2013,4,2014-01-18 00:00:00.000,53,1,49,2,1512,1608,L,W
135,2016,4,2016-09-24 00:00:00.000,55,1,49,2,1488,1589,L,W
136,2017,4,2018-02-10 00:00:00.000,56,0,49,2,1593,1752,L,W
137,2017,4,2017-09-30 00:00:00.000,60,0,49,1,1409,1611,L,W
138,2016,4,2016-10-22 00:00:00.000,57,0,49,0,1443,1490,D,D
139,2017,4,2018-01-27 00:00:00.000,57,2,49,1,1692,1671,W,L
140,2015,4,2015-09-26 00:00:00.000,57,0,49,3,1497,1539,L,W
141,2017,4,2017-10-21 00:00:00.000,58,0,49,2,1532,1606,L,W
142,2016,4,2016-12-31 00:00:00.000,58,0,49,1,1510,1508,L,W
143,2016,4,2017-02-25 00:00:00.000,32,2,49,2,1599,1553,D,D
144,2014,4,2015-01-03 00:00:00.000,59,1,49,2,1479,1490,L,W
145,2016,4,2017-03-11 00:00:00.000,59,0,49,2,1542,1617,L,W
146,2017,4,2017-11-25 00:00:00.000,59,2,49,0,1570,1686,W,L
147,2013,4,2014-03-29 00:00:00.000,59,0,49,1,1675,1681,L,W
148,2015,4,2016-01-23 00:00:00.000,59,2,49,1,1576,1579,W,L
149,2013,4,2014-01-01 00:00:00.000,33,3,49,1,1574,1521,W,L
150,2016,4,2016-12-26 00:00:00.000,61,2,49,0,1413,1549,W,L
151,2017,4,2017-12-30 00:00:00.000,61,0,49,3,1648,1728,L,W
152,2017,4,2017-12-16 00:00:00.000,62,2,49,0,1626,1648,W,L
153,2015,4,2016-04-09 00:00:00.000,63,0,49,2,1727,1707,L,W
154,2016,4,2016-11-12 00:00:00.000,63,1,49,0,1576,1415,W,L
155,2014,4,2015-02-28 00:00:00.000,63,2,49,0,1600,1542,W,L
156,2014,4,2014-10-04 00:00:00.000,64,0,49,1,1473,1480,L,W
157,2016,4,2017-02-14 00:00:00.000,64,4,49,4,1544,1519,D,D
158,2015,4,2016-01-02 00:00:00.000,64,2,49,3,1677,1548,L,W
159,2013,4,2013-12-21 00:00:00.000,64,2,49,3,1508,1480,L,W
160,2016,4,2016-09-10 00:00:00.000,67,0,49,2,1471,1486,L,W
161,2015,4,2015-08-22 00:00:00.000,67,1,49,1,1479,1518,D,D
162,2017,4,2017-08-25 00:00:00.000,67,2,49,2,1550,1544,D,D
163,2015,4,2015-08-15 00:00:00.000,65,1,49,0,,1505,W,L
164,2013,4,2013-10-26 00:00:00.000,65,1,49,2,1475,1574,L,W
165,2017,4,2017-09-02 00:00:00.000,65,1,49,2,1513,1549,L,W
166,2014,4,2015-04-03 00:00:00.000,65,1,49,1,1535,1452,D,D
167,2016,4,2017-03-21 00:00:00.000,65,1,49,2,1508,1580,L,W
168,2013,4,2013-08-03 00:00:00.000,66,4,49,1,,,W,L
169,2014,4,2014-10-25 00:00:00.000,66,1,49,1,1492,1483,D,D
170,2015,4,2016-03-28 00:00:00.000,66,0,49,2,1621,1666,L,W
171,2016,4,2017-04-22 00:00:00.000,66,1,49,0,1683,1642,W,L
172,2013,4,2014-03-15 00:00:00.000,42,2,49,1,1684,1667,W,L
173,2014,4,2014-09-20 00:00:00.000,36,4,49,5,1475,1490,L,W
174,2015,4,2015-12-28 00:00:00.000,36,1,49,0,1548,1535,W,L
175,2013,4,2013-11-30 00:00:00.000,36,1,49,0,1565,1591,W,L
176,2013,4,2014-04-21 00:00:00.000,46,1,49,0,1738,1609,W,L
177,2014,4,2014-09-16 00:00:00.000,38,3,49,1,1491,1516,W,L
178,2013,4,2014-04-26 00:00:00.000,38,1,49,2,1596,1593,L,W
179,2015,4,2016-02-20 00:00:00.000,38,1,49,2,1511,1532,L,W
180,2014,4,2015-02-14 00:00:00.000,46,1,49,2,1638,1515,L,W
181,2017,4,2017-10-17 00:00:00.000,69,3,49,2,1557,1642,W,L
182,2016,4,2017-05-06 00:00:00.000,69,0,49,3,1581,1593,L,W
183,2014,4,2014-10-18 00:00:00.000,69,2,49,1,1466,1516,W,L
184,2015,4,2015-12-19 00:00:00.000,69,1,49,1,1612,1486,D,D
185,2015,4,2015-10-17 00:00:00.000,40,1,49,0,1567,1602,W,L
186,2016,4,2017-04-01 00:00:00.000,40,0,49,1,1664,1582,L,W
187,2014,4,2015-02-07 00:00:00.000,40,1,49,0,1471,1505,W,L
188,2013,4,2013-09-28 00:00:00.000,40,0,49,0,1473,1386,D,D
189,2017,4,2017-09-26 00:00:00.000,68,1,49,2,1419,1591,L,W
190,2016,4,2017-02-11 00:00:00.000,41,2,49,0,1529,1565,W,L
191,2015,4,2015-09-05 00:00:00.000,41,0,49,0,1573,1524,D,D
192,2014,4,2014-12-13 00:00:00.000,41,2,49,3,1468,1457,L,W
193,2013,4,2014-02-08 00:00:00.000,71,0,49,0,1445,1647,D,D
194,2016,4,2016-08-16 00:00:00.000,71,1,49,1,1516,1506,D,D
195,2014,4,2015-03-17 00:00:00.000,71,2,49,2,1648,1488,D,D
196,2015,4,2016-04-30 00:00:00.000,71,0,49,1,1676,1809,L,W
197,2017,4,2017-08-12 00:00:00.000,72,3,49,2,1473,1537,W,L
198,2015,4,2016-03-01 00:00:00.000,72,1,49,0,1675,1677,W,L
199,2016,4,2017-03-18 00:00:00.000,72,1,49,1,1583,1652,D,D
200,2013,4,2014-02-25 00:00:00.000,41,1,49,0,1543,1629,W,L
201,2013,4,2013-11-16 00:00:00.000,44,0,49,2,1507,1596,L,W
202,2014,4,2014-08-19 00:00:00.000,45,4,49,0,1505,1452,W,L
203,2017,1,2017-12-13 00:00:00.000,92,0,74,0,1487,1664,D,D
204,2013,1,2013-12-26 00:00:00.000,92,1,74,3,1427,1697,L,W
205,2014,1,2014-12-28 00:00:00.000,92,1,74,2,1650,1652,L,W
206,2017,1,2018-01-30 00:00:00.000,88,3,74,1,1551,1692,W,L
207,2013,1,2013-09-14 00:00:00.000,23,1,74,3,1452,1558,L,W
208,2016,1,2016-10-29 00:00:00.000,23,1,74,4,1381,1648,L,W
209,2014,1,2014-11-09 00:00:00.000,88,2,74,1,1544,1613,W,L
210,2016,1,2017-01-14 00:00:00.000,88,0,74,4,1465,1692,L,W
211,2013,1,2013-09-28 00:00:00.000,88,1,74,2,1530,1617,L,W
212,2015,1,2015-10-31 00:00:00.000,88,0,74,3,1525,1681,L,W
213,2017,1,2017-10-14 00:00:00.000,90,2,74,1,1575,1592,W,L
214,2015,4,2015-09-29 00:00:00.000,40,2,50,1,1529,1531,W,L
215,2016,4,2016-11-22 00:00:00.000,40,0,50,2,1531,1465,L,W
216,2017,4,2017-09-02 00:00:00.000,70,1,50,4,1535,1490,L,W
217,2015,4,2015-10-24 00:00:00.000,38,2,50,3,1666,1498,L,W
218,2016,4,2017-04-01 00:00:00.000,69,1,50,0,1634,1607,W,L
219,2015,4,2016-01-23 00:00:00.000,69,0,50,0,1652,1617,D,D
220,2015,4,2016-01-02 00:00:00.000,36,3,50,0,1588,1641,W,L
221,2017,4,2017-11-21 00:00:00.000,66,1,50,2,1585,1447,L,W
222,2016,4,2016-10-25 00:00:00.000,66,2,50,2,1416,1445,D,D
223,2015,4,2016-03-08 00:00:00.000,66,0,50,3,1725,1731,L,W
224,2015,4,2016-04-02 00:00:00.000,65,4,50,2,1632,1791,W,L
225,2017,4,2017-10-14 00:00:00.000,67,2,50,1,1664,1493,W,L
226,2015,4,2015-11-24 00:00:00.000,67,4,50,2,1636,1504,W,L
227,2016,4,2017-03-19 00:00:00.000,67,1,50,0,1605,1602,W,L
228,2016,4,2017-02-14 00:00:00.000,65,0,50,1,1585,1562,L,W
229,2016,4,2016-09-10 00:00:00.000,64,0,50,1,1544,1517,L,W
230,2015,4,2016-04-23 00:00:00.000,64,1,50,1,1851,1787,D,D
231,2017,4,2018-02-03 00:00:00.000,64,3,50,1,1614,1727,W,L
232,2016,4,2016-12-31 00:00:00.000,63,3,50,1,1454,1572,W,L
233,2015,4,2015-11-14 00:00:00.000,63,2,50,0,1474,1514,W,L
234,2017,4,2017-09-26 00:00:00.000,62,2,50,1,1553,1511,W,L
235,2016,4,2016-11-12 00:00:00.000,61,2,50,2,1411,1589,D,D
236,2015,4,2016-03-25 00:00:00.000,59,1,50,1,1748,1745,D,D
237,2016,4,2017-04-14 00:00:00.000,59,2,50,1,1618,1590,W,L
238,2017,4,2017-12-30 00:00:00.000,59,2,50,1,1581,1469,W,L
239,2016,4,2016-10-08 00:00:00.000,32,3,50,2,1575,1584,W,L
240,2017,4,2017-08-19 00:00:00.000,58,1,50,0,1510,1545,W,L
241,2017,4,2018-01-13 00:00:00.000,57,2,50,0,1680,1570,W,L
242,2016,4,2016-08-20 00:00:00.000,57,1,50,1,1567,1545,D,D
243,2016,4,2017-05-06 00:00:00.000,58,4,50,1,1531,1624,W,L
244,2017,4,2017-08-05 00:00:00.000,60,2,50,2,,,D,D
245,2015,4,2016-05-07 00:00:00.000,57,0,50,3,1591,1642,L,W
246,2017,4,2018-01-27 00:00:00.000,53,1,50,1,1576,1569,D,D
247,2016,4,2016-12-26 00:00:00.000,53,1,50,2,1544,1535,L,W
248,2017,4,2018-02-24 00:00:00.000,55,0,50,1,1573,1617,L,W
249,2017,4,2017-12-09 00:00:00.000,54,2,50,1,1570,1479,W,L
250,2016,4,2017-02-11 00:00:00.000,55,2,50,1,1597,1496,W,L
251,2017,4,2017-09-16 00:00:00.000,52,1,50,1,1474,1548,D,D
252,2015,4,2015-09-05 00:00:00.000,52,3,50,2,1490,1554,W,L
253,2016,4,2017-01-28 00:00:00.000,52,1,50,1,1545,1544,D,D
254,2017,4,2017-12-26 00:00:00.000,51,1,50,0,1578,1487,W,L
255,2015,4,2015-12-28 00:00:00.000,51,2,50,1,1583,1678,W,L
256,2016,4,2016-08-06 00:00:00.000,51,1,50,1,,,D,D
257,2015,4,2015-08-22 00:00:00.000,29,3,50,1,1547,1516,W,L
258,2016,4,2017-02-28 00:00:00.000,27,2,50,2,1557,1477,D,D
259,2015,4,2016-02-27 00:00:00.000,49,2,50,2,1672,1672,D,D
260,2016,4,2017-03-04 00:00:00.000,49,1,50,0,1590,1490,W,L
261,2017,4,2017-10-28 00:00:00.000,49,4,50,1,1635,1497,W,L
262,2015,4,2015-10-03 00:00:00.000,25,2,50,0,1516,1482,W,L
263,2017,2,2018-02-11 00:00:00.000,1,2,3,0,1798,1635,W,L
264,2016,2,2017-04-23 00:00:00.000,1,1,3,0,1788,1605,W,L
265,2013,2,2014-05-03 00:00:00.000,4,2,3,2,1629,1537,D,D
266,2017,2,2017-11-04 00:00:00.000,2,2,3,0,1614,1556,W,L
267,2013,2,2013-11-30 00:00:00.000,2,0,3,3,1462,1517,L,W
268,2016,2,2016-12-31 00:00:00.000,2,2,3,2,1641,1592,D,D
269,2015,2,2016-03-08 00:00:00.000,26,2,3,0,1713,1744,W,L
270,2014,2,2014-10-21 00:00:00.000,26,1,3,0,1546,1474,W,L
271,2013,2,2013-12-29 00:00:00.000,26,2,3,3,1610,1585,L,W
272,2015,2,2015-10-20 00:00:00.000,4,0,3,1,1455,1605,L,W
273,2014,2,2015-05-02 00:00:00.000,4,0,3,1,1626,1657,L,W
274,2013,2,2014-02-22 00:00:00.000,27,1,3,2,1546,1455,L,W
275,2014,2,2014-12-06 00:00:00.000,27,1,3,0,1444,1604,W,L
276,2016,2,2017-01-21 00:00:00.000,26,1,3,1,1552,1567,D,D
