,FixtureDateAsDate,HomeTeam,AwayTeam,HomeTeamResult,prediction,HomeOdds,DrawOdds,AwayOdds,payoff,weeknum
8861,2018-09-22,Manchester United,Wolverhampton Wanderers,D,W,1.57,3.9,5.8,-1.0,38
2938,2018-09-22,Reading,Hull City,W,D,2.4,3.25,2.87,-1.0,38
10060,2018-09-22,Liverpool,Southampton,W,W,1.18,6.5,17.0,1.18,38
170,2018-09-22,Aston Villa,Sheffield Wednesday,L,W,1.57,3.9,5.8,-1.0,38
1894,2018-09-22,Ipswich Town,Bolton Wanderers,D,W,1.91,3.2,4.25,-1.0,38
8065,2018-09-22,Burnley,AFC Bournemouth,W,W,2.8,3.2,2.5,2.8,38
9698,2018-09-22,Brighton & Hove Albion,Tottenham Hotspur,L,L,4.6,3.7,1.73,1.73,38
1030,2018-09-22,Cardiff City,Manchester City,L,L,19.0,7.5,1.15,1.15,38
9635,2018-09-23,West Ham United,Chelsea,D,L,5.5,4.2,1.57,-1.0,38
9500,2018-09-23,Arsenal,Everton,W,W,1.44,4.6,6.5,1.44,38
568,2018-09-28,Bristol City,Aston Villa,D,W,2.4,3.3,2.9,-1.0,39
2843,2018-09-28,Sheffield Wednesday,Leeds United,D,L,3.4,3.4,2.1,-1.0,39
9041,2018-09-29,Newcastle United,Leicester City,L,W,2.5,3.1,2.9,-1.0,39
975,2018-09-29,Bolton Wanderers,Derby County,W,D,3.6,3.2,2.1,-1.0,39
1655,2018-09-29,Hull City,Middlesbrough,D,L,3.4,3.2,2.2,-1.0,39
2234,2018-09-29,Norwich City,Wigan Athletic,W,W,2.2,3.4,3.1,2.2,39
3198,2018-09-29,Blackburn Rovers,Nottingham Forest,D,W,2.3,3.1,3.25,-1.0,39
5243,2018-09-29,Rotherham United,Stoke City,D,L,3.25,3.3,2.2,-1.0,39
10290,2018-09-29,Swansea City,Queens Park Rangers,W,W,2.25,3.1,3.3,2.25,39
341,2018-09-29,Brentford,Reading,D,W,1.44,4.33,6.5,-1.0,39
9501,2018-09-29,Arsenal,Watford,W,W,1.5,4.5,6.0,1.5,39
8274,2018-09-29,Chelsea,Liverpool,D,L,2.75,3.5,2.4,-1.0,39
8655,2018-09-29,Everton,Fulham,W,W,1.73,3.8,4.4,1.73,39
9636,2018-09-29,West Ham United,Manchester United,W,L,4.25,3.6,1.8,-1.0,39
1983,2018-09-29,Millwall,Sheffield United,L,L,3.0,3.2,2.37,2.37,39
9829,2018-09-29,Huddersfield Town,Tottenham Hotspur,L,L,7.5,4.33,1.44,1.44,39
3336,2018-09-29,Wolverhampton Wanderers,Southampton,W,W,1.8,3.4,4.75,1.8,39
2392,2018-09-29,Preston North End,West Bromwich Albion,L,W,2.87,3.3,2.4,-1.0,39
10175,2018-09-29,Manchester City,Brighton & Hove Albion,W,W,1.09,11.0,29.0,1.09,39
714,2018-09-29,Birmingham City,Ipswich Town,D,W,2.0,3.1,4.2,-1.0,39
1031,2018-09-30,Cardiff City,Burnley,L,D,2.5,3.0,3.0,-1.0,39
9161,2018-10-01,AFC Bournemouth,Crystal Palace,W,W,2.2,3.4,3.1,2.2,40
9430,2018-10-02,Stoke City,Bolton Wanderers,W,W,1.53,3.9,6.5,1.53,40
342,2018-10-02,Brentford,Birmingham City,D,W,1.67,3.8,5.2,-1.0,40
171,2018-10-02,Aston Villa,Preston North End,D,W,1.8,3.5,4.6,-1.0,40
1895,2018-10-02,Ipswich Town,Middlesbrough,L,L,3.9,3.1,2.1,2.1,40
6278,2018-10-02,Wigan Athletic,Swansea City,D,W,2.05,3.3,3.7,-1.0,40
